i;Weights;BCW;CCW
151;818.0;0.06575498575498574;0.39396727900869793
152;859.0;0.06928774928774929;0.3822607940304862
153;859.0;0.06564102564102564;0.1009132752971353
154;1056.0;0.08045584045584045;0.3476435276394311
155;1270.0;0.0782905982905983;0.3673747898121715
156;1052.0;0.06814814814814814;0.15994732973437562
157;1052.0;0.101994301994302;0.13330979290838932
158;442.0;0.07544159544159543;0.36579640919482154
159;2035.0;0.09903133903133902;0.30001564019090404
160;1099.0;0.07829059829059828;0.35518091648619765
161;1605.0;0.06655270655270655;0.10054636260205589
162;656.0;0.08615384615384614;0.33971679964630547
163;287.0;0.06883190883190883;0.3864304001198516
164;590.0;0.0782905982905983;0.35546045754524713
165;1089.0;0.10267806267806269;0.29741503722105195
166;1116.0;0.06940170940170941;0.38376741764231115
167;867.0;0.07886039886039888;0.35750288465876046
168;922.0;0.06814814814814817;0.38961186621749255
169;1206.0;0.07282051282051281;0.3705372666989206
170;813.0;0.12022792022792023;0.2629706221870434
171;813.0;0.0948148148148148;0.3136218414818256
172;1266.0;0.08136752136752136;0.35207024065890696
173;1238.0;0.06735042735042736;0.160937566282996
174;749.0;0.07054131054131053;0.38294393726753406
175;1143.0;0.10039886039886038;0.2995813175336224
176;1416.0;0.07646723646723647;0.09812662164872553
177;1045.0;0.08148148148148149;0.34887637446497677
178;636.0;0.06849002849002848;0.09889844931439287
179;945.0;0.06962962962962962;0.3806405640406446
180;651.0;0.08364672364672365;0.34148203799096094
181;1534.0;0.08877492877492878;0.3267382443068826
182;2146.0;0.08136752136752136;0.3502231869649157
183;660.0;0.06723646723646724;0.3906630514161349
184;1458.0;0.0924216524216524;0.3161392432362058
185;840.0;0.08341880341880341;0.09695649892803744
186;378.0;0.0784045584045584;0.3539965526186948
187;795.0;0.09675213675213676;0.31370236874920565
188;556.0;0.06997150997150997;0.3789681403539394
189;510.0;0.0725925925925926;0.3797916201567447
190;748.0;0.10404558404558405;0.2958172113548119
191;499.0;0.0871794871794872;0.33622432623676884
192;957.0;0.10313390313390312;0.0298517364376949
193;620.0;0.06849002849002848;0.3851134086817871
194;954.0;0.06803418803418804;0.25304439719196276
195;833.0;0.1168091168091168;0.26478102849393026
196;1243.0;0.06757834757834758;0.38624736779707824
197;1352.0;0.11213675213675213;0.016397475297452873
198;1134.0;0.07202279202279202;0.3733366570093605
199;1034.0;0.07407407407407407;0.36732858175067873
200;1241.0;0.08683760683760683;0.33017809075084537
201;599.0;0.06336182336182336;0.401885962305854
202;1487.0;0.06905982905982906;0.15928476613586934
203;1760.0;0.07168091168091169;0.04497024670704513
204;1175.0;0.0741880341880342;0.1461018437389394
205;467.0;0.08444444444444445;0.3484980151986305
206;1018.0;0.06723646723646724;0.15000496453660347
207;727.0;0.07213675213675214;0.09935845567567732
208;1052.0;0.10415954415954413;0.2901693055781665
209;1398.0;0.08113960113960114;0.35007134799981154
210;1045.0;0.07179487179487179;0.3726598392964639
211;1395.0;0.0701994301994302;0.3772837185295631
212;558.0;0.06689458689458688;0.3890980584571683
213;1657.0;0.0776068376068376;0.09788215611729623
214;1041.0;0.06883190883190882;0.38511824178923393
215;1130.0;0.07122507122507121;0.37817458552707234
216;1056.0;0.06518518518518518;0.3957273727127319
217;1328.0;0.07532763532763533;0.24225703789757938
218;1005.0;0.08193732193732194;0.3456744577800556
219;1168.0;0.09162393162393162;0.02976387669229341
220;716.0;0.07544159544159544;0.36784295315699217
221;560.0;0.06723646723646724;0.38841292662607363
222;1173.0;0.09287749287749288;0.09405805331549211
223;899.0;0.06814814814814814;0.252991045058755
224;1400.0;0.0801139601139601;0.34879240860007854
225;1308.0;0.08683760683760683;0.2315016621346404
226;649.0;0.06985754985754986;0.384042893375198
227;886.0;0.07430199430199431;0.3704888844978369
228;1194.0;0.08831908831908832;0.15665272736201383
229;1182.0;0.0849002849002849;0.33644117331424667
230;706.0;0.07646723646723647;0.36606829374047184
231;271.0;0.08148148148148149;0.349335581664311
232;1011.0;0.07920227920227922;0.35204685134423114
233;911.0;0.0841025641025641;0.33867624649898337
234;1729.0;0.07487179487179486;0.09843183100199361
235;1016.0;0.06883190883190883;0.3842996444726137
236;1586.0;0.08273504273504274;0.09647679445785468
237;727.0;0.09971509971509972;0.30103079873436644
238;1052.0;0.0725925925925926;0.3742909266067489
239;1232.0;0.10997150997150998;0.2767276604801455
240;1083.0;0.08626780626780627;0.3345147705681889
241;1471.0;0.1037037037037037;0.3000207044812285
242;579.0;0.07213675213675214;0.37704327784937675
243;1481.0;0.07943019943019942;0.15420387449625417
244;1447.0;0.08740740740740742;0.13941436850350156
245;1289.0;0.09230769230769231;0.32452308598520957
246;1637.0;0.07407407407407407;0.3656496955463727
247;1228.0;0.07316239316239316;0.15753189810446766
248;893.0;0.08376068376068375;0.33744317834907356
249;713.0;0.07544159544159544;0.36963982772204557
250;1225.0;0.08296296296296297;0.3393733431382068
251;635.0;0.07623931623931625;0.36430965791104264
252;740.0;0.074985754985755;0.09868204971567879
253;1185.0;0.09253561253561253;0.31626091051366284
254;1141.0;0.08045584045584046;0.1547186199879276
255;1075.0;0.07521367521367521;0.15668819416038873
256;997.0;0.06381766381766382;0.4006292058126548
257;731.0;0.06324786324786326;0.40222033413698555
258;1232.0;0.07304843304843305;0.15674992478831234
259;829.0;0.08216524216524217;0.34829358068193633
260;1023.0;0.07794871794871795;0.3657084343444334
261;734.0;0.07658119658119658;0.3607469149427739
262;1656.0;0.08011396011396012;0.027619145517439454
263;1318.0;0.07544159544159544;0.3666061202861059
264;1223.0;0.10746438746438748;0.28192028269502417
265;1413.0;0.083988603988604;0.3412656852856455
266;992.0;0.07452991452991452;0.3652576696459495
267;497.0;0.07122507122507121;0.37620763970526205
268;538.0;0.06678062678062677;0.17125658655930898
269;1323.0;0.06997150997150997;0.3783029969664214
270;1677.0;0.07794871794871795;0.36063684307993493
271;1284.0;0.07145299145299146;0.3743156328505074
272;1173.0;0.07441595441595442;0.08462119971349116
273;547.0;0.10233618233618233;0.1492743150954569
274;1305.0;0.10096866096866099;0.30888270466927886
275;1382.0;0.08763532763532764;0.13918344263731852
276;1641.0;0.07977207977207977;0.3502729340582151
277;854.0;0.09481481481481481;0.3136200129609802
278;781.0;0.07646723646723647;0.36429073098269726
279;1212.0;0.06723646723646724;0.3881443213624837
280;545.0;0.09743589743589744;0.31087460754201574
281;1451.0;0.08524216524216524;0.33880690958437293
282;1345.0;0.07293447293447293;0.37217597883076364
283;1337.0;0.07965811965811966;0.36292944033378793
284;289.0;0.08433048433048433;0.3413747688117197
285;1444.0;0.08113960113960114;0.16155447678600462
286;1518.0;0.07031339031339032;0.37938955247271805
287;972.0;0.07270655270655271;0.3754973552589464
288;1317.0;0.08672364672364673;0.33300067657389354
289;196.0;0.08797720797720797;0.32743348408112954
290;885.0;0.07874643874643875;0.35349315919161434
291;1052.0;0.06894586894586895;0.38536343001904333
292;668.0;0.07566951566951569;0.36267675587081005
293;1063.0;0.08877492877492878;0.09594739068429242
294;1637.0;0.08239316239316238;0.3457844280452146
295;1416.0;0.08193732193732194;0.3432187244695796
296;831.0;0.07019943019943022;0.37886701296543285
297;1534.0;0.08182336182336182;0.3445390499802979
298;1546.0;0.10894586894586894;0.2834320012972957
299;937.0;0.06324786324786326;0.40315664909996834
300;1007.0;0.08182336182336182;0.34318802765560763
301;289.0;0.10586894586894588;0.28621461131282483
302;1032.0;0.11475783475783476;0.2706928862428332
